15.9 -250 13.3968 -84.3515
16 -250 13.4758 -84.3148
16.1 -250 13.5547 -84.278
16.2 -250 13.6335 -84.2409
16.3 -250 13.7121 -84.2036
16.4 -250 13.7907 -84.1661
16.5 -250 13.8692 -84.1283
16.6 -250 13.9476 -84.0904
16.7 -250 14.0258 -84.0523
16.8 -250 14.104 -84.014
16.9 -250 14.1821 -83.9755
17 -250 14.2601 -83.9367
17.1 -250 14.338 -83.8978
17.2 -250 14.4157 -83.8587
17.3 -250 14.4934 -83.8193
17.4 -250 14.571 -83.7798
17.5 -250 14.6484 -83.7401
17.6 -250 14.7258 -83.7001
17.7 -250 14.8031 -83.66
17.8 -250 14.8802 -83.6196
17.9 -250 14.9573 -83.5791
18 -250 15.0342 -83.5384
18.1 -250 15.1111 -83.4974
18.2 -250 15.1878 -83.4563
18.3 -250 15.2644 -83.415
18.4 -250 15.3409 -83.3735
18.5 -250 15.4173 -83.3317
18.6 -250 15.4936 -83.2898
18.7 -250 15.5698 -83.2477
18.8 -250 15.6459 -83.2054
18.9 -250 15.7219 -83.1629
19 -250 15.7978 -83.1202
19.1 -250 15.8735 -83.0773
19.2 -250 15.9492 -83.0342
19.3 -250 16.0247 -82.991
19.4 -250 16.1001 -82.9475
19.5 -250 16.1754 -82.9038
19.6 -250 16.2506 -82.86
19.7 -250 16.3257 -82.8159
19.8 -250 16.4007 -82.7717
19.9 -250 16.4755 -82.7273
20 -250 16.5503 -82.6827
20.1 -250 16.6249 -82.6379
20.2 -250 16.6994 -82.5929
20.3 -250 16.7738 -82.5477
20.4 -250 16.8481 -82.5024
20.5 -250 16.9222 -82.4568
20.6 -250 16.9963 -82.4111
20.7 -250 17.0702 -82.3652
20.8 -250 17.144 -82.3191
20.9 -250 17.2177 -82.2728
21 -250 17.2913 -82.2263
21.1 -250 17.3647 -82.1796
21.2 -250 17.4381 -82.1328
21.3 -250 17.5113 -82.0858
21.4 -250 17.5844 -82.0386
21.5 -250 17.6573 -81.9912
21.6 -250 17.7302 -81.9436
21.7 -250 17.8029 -81.8959
21.8 -250 17.8755 -81.8479
21.9 -250 17.948 -81.7998
22 -250 18.0204 -81.7515
22.1 -250 18.0926 -81.7031
22.2 -250 18.1647 -81.6544
22.3 -250 18.2367 -81.6056
22.4 -250 18.3086 -81.5566
22.5 -250 18.3803 -81.5074
22.6 -250 18.452 -81.4581
22.7 -250 18.5235 -81.4085
22.8 -250 18.5948 -81.3588
22.9 -250 18.6661 -81.309
23 -250 18.7372 -81.2589
23.1 -250 18.8082 -81.2087
23.2 -250 18.879 -81.1583
23.3 -250 18.9498 -81.1077
23.4 -250 19.0204 -81.057
23.5 -250 19.0909 -81.006
23.6 -250 19.1612 -80.955
23.7 -250 19.2314 -80.9037
